Hanseniaspora opuntiae	211096
Exophiala oligosperma	215243
Acaromyces ingoldii	215250
Fusarium xylarioides	221167
Malassezia japonica	223818
Ochroconis constricta	227046
Alternaria consortialis	230004
Fusarium commune	249398
Saccharomyces boulardii (nom. inval.)	252598
Apiotrichum mycotoxinovorans	252803
Penicillium flavigenum	254877
Candida orthopsilosis	273371
Candida metapsilosis	273372
Botryotinia globosa	278942
Sporisorium graminicola	280036
Sarocladium oryzae	284135
Meira nashicola	286112
Cyphellophora europaea	293227
Aspergillus lentulus	293939
Fusarium incarnatum	298378
Elsinoe ampelina	302913
Penicillium steckii	303698
Ustilago bromivora	307758
Torpedospora radiata	311114
[Candida] hispaniensis	312227
Cercophora scortea	314031
Pyricularia oryzae	318829
Pseudozyma hubeiensis	327079
uncultured Malassezia	338567
Ascodesmis nigricans	341454
Exophiala xenobiotica	348802
Chrysoporthe austroafricana	354353
Grosmannia penicillata	360150
Meyerozyma carpophila	374178
Zygoascus meyerae	374461
Lipomyces doorenjongii	383834
Candida corydali	391826
Teunomyces gatunensis	392264
Salmacisia buchloeana	392538
Aspergillus ruber	396024
Blastobotrys adeninivorans	409370
Aspergillus calidoustus	454130
Aplosporella prunicola	462254
Lasiodiplodia pseudotheobromae	466954
Ramularia coccinea	475927
Yarrowia alimentaria	479092
Aspergillus sclerotiicarbonarius	487660
Aspergillus aculeatinus	487661
Ramichloridium luteum	508918
Apodospora peruviana	516989
Trichophyton mentagrophytes	523103
Sporothrix brasiliensis	545650
Aspergillus cristatus	573508
Lachancea nothofagi	679534
Lichtheimia ramosa	688394
Colletotrichum siamense	690259
Saccharomyces arboricola	706196
Mucor velutinosus	708070
Hyphopichia burtonii	717740
Hyphopichia pseudoburtonii	717741
Aspergillus fumigatus	746128
Dicyma pulvinata	767359
Fusarium temperatum	767483
Paraphoma chrysanthemicola	798071
Cutaneotrichosporon oleaginosum	879819
Pleurotus tuoliensis	879823
Gliomastix tumulicola	909944
Simplicillium aogashimaense	935214
Rhizopus delemar	936053
Fusarium proliferatum	948311
Spathaspora arborariae	979894
Ciboria shiraiana	984309
Heterobasidion irregulare	984962
Phyllosticta citribraziliensis	989973
Exophiala sideris	1016849
Exophiala aquamarina	1033840
Aureobasidium subglaciale	1042127
Zygosaccharomyces siamensis	1074906
Coniothyrium glycines	1077358
Ilyonectria robusta	1079257
Dactylonectria estremocensis	1079267
Saccharomyces eubayanus	1080349
Penicillium rubens	1108849
Myceliophthora heterothallica	1149786
Ustilaginoidea virens	1159556
Geotrichum candidum	1173061
Alternaria burnsii	1187904
Alternaria rosae	1187941
Aspergillus hiratsukae	1194566
Peterozyma toletana	1196395
Aspergillus neoniger	1196635
Candida theae	1198502
Colletotrichum godetiae	1209918
